Stock,Q1_Alpha,Q2_Alpha,Avg_Alpha
GRAL,34.7,41.0,37.85
KLAC,12.1,15.0,13.55
META,3.1,13.0,8.05
GILD,22.700000000000003,-9.0,6.850000000000001
RMBS,2.5,10.0,6.25
NOK,21.1,-10.0,5.550000000000001
IDCC,11.1,-1.0,5.05
WFC,7.2,2.0,4.6
ROK,-5.5,14.0,4.25
TXN,1.0,5.0,3.0
AMD,-13.000000000000002,19.0,2.999999999999999
AMAT,-7.200000000000001,12.0,2.3999999999999995
EL,-8.5,10.0,0.75
SNPS,-8.6,7.0,-0.7999999999999998
BP,18.299999999999997,-20.0,-0.8500000000000014
FIS,-2.9000000000000004,0.0,-1.4500000000000002
LLY,11.3,-15.0,-1.8499999999999996
DELL,-21.299999999999997,17.0,-2.1499999999999986
NICE,-5.6,0.0,-2.8
COUR,-23.0,15.0,-4.0
GOOG,-17.200000000000003,3.0,-7.100000000000001
GNRC,-17.799999999999997,3.0,-7.399999999999999
MITK,-30.299999999999997,8.0,-11.149999999999999
FI,11.6,-37.0,-12.7
NVO,-17.299999999999997,-10.0,-13.649999999999999
REGN,-7.6,-30.0,-18.8
UIS,-33.3,-10.0,-21.65
ILMN,-63.80000000000001,8.0,-27.900000000000006
UNH,8.4,-76.0,-33.8
